                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4088,                 20.694,                 4.2025,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,                      0,                      0,                      0
                      2,                 6.7879,                 25.698,                 4.3046,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                  6.287,                 12.254,                  4.345,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 6.3485,                 10.697,                 4.2089,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 6.3252,                   10.7,                 4.2681,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                  6.208,                 14.771,                 4.2356,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 5.8742,                 17.566,                 4.3821,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,             0.00011287,             0.00011287,             0.00011287
                      8,                 6.2703,                 10.591,                 4.2109,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,              0.0001303,              0.0001303,              0.0001303
                      9,                 6.1608,                 13.213,                 4.1075,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,             0.00014733,             0.00014733,             0.00014733
                     10,                 6.5292,                  12.67,                 4.1251,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,             0.00016396,             0.00016396,             0.00016396
                     11,                 6.7958,                 15.437,                 4.0355,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,              0.0001802,              0.0001802,              0.0001802
                     12,                 5.6837,                 15.742,                 4.1809,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,             0.00019604,             0.00019604,             0.00019604
                     13,                 5.2722,                 14.453,                 4.2849,                      0,                      0,                      0,                      0,                      0,                 45.125,                      0,             0.00021149,             0.00021149,             0.00021149
