                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0088,                 34.249,                 3.5204,                      0,                      0,                      0,                      0,                0.04225,                 7.0078,                0.02405,              0.0001667,              0.0001667,              0.0001667
                      2,                 4.9529,                  31.94,                 3.3224,                      0,                      0,                      0,                      0,                0.04053,                 7.0078,                0.02314,             0.00034314,             0.00034314,             0.00034314
                      3,                 5.6365,                 27.517,                 3.8554,                      0,                      0,                      0,                      0,                0.03865,                 7.0078,                0.02217,             0.00051232,             0.00051232,             0.00051232
                      4,                 4.7324,                 29.844,                 2.9764,                      0,                      0,                      0,                      0,                0.03579,                 6.0938,                0.02073,             0.00067423,             0.00067423,             0.00067423
                      5,                  5.157,                 21.842,                 3.4894,                      0,                      0,                      0,                      0,                0.03256,                 4.1133,                0.01903,             0.00082889,             0.00082889,             0.00082889
                      6,                 4.9003,                 21.718,                 3.3745,                      0,                      0,                      0,                      0,                0.02853,                 3.5449,                0.01687,             0.00097628,             0.00097628,             0.00097628
                      7,                 5.3348,                 21.813,                 3.4745,                      0,                      0,                      0,                      0,                0.02361,                 3.5215,                0.01412,              0.0011164,              0.0011164,              0.0011164
                      8,                 4.2494,                 17.199,                 2.9662,                      0,                      0,                      0,                      0,                0.01919,                 2.6152,                0.01154,              0.0012493,              0.0012493,              0.0012493
                      9,                  4.065,                 11.931,                 3.1556,                      0,                      0,                      0,                      0,                0.01919,                 2.6152,                0.01154,              0.0013749,              0.0013749,              0.0013749
                     10,                  3.755,                 15.274,                 2.8921,                      0,                      0,                      0,                      0,                0.01787,                 3.5156,                0.01063,              0.0013699,              0.0013699,              0.0013699
                     11,                 3.4764,                 14.637,                 2.9827,                      0,                      0,                      0,                      0,                0.01887,                 3.5156,                0.01108,              0.0013369,              0.0013369,              0.0013369
                     12,                  3.002,                 8.3752,                 2.8716,                      0,                      0,                      0,                      0,                0.01887,                 3.5156,                0.01108,              0.0013039,              0.0013039,              0.0013039
                     13,                 3.5529,                 9.2522,                 2.5635,                      0,                      0,                      0,                      0,                0.02119,                 4.4453,                0.01217,              0.0012709,              0.0012709,              0.0012709
