                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.054,                 38.604,                0.62005,                      0,                      0,                      0,                      0,                0.05956,                 12.273,                 0.0339,                 0.0002,                 0.0002,                 0.0002
                      2,                0.77187,                 36.623,                0.45327,                      0,                      0,                      0,                      0,                0.05998,                 12.273,                0.03415,             0.00041168,             0.00041168,             0.00041168
                      3,                 1.9573,                  34.29,                 1.1172,                      0,                      0,                      0,                      0,                0.05972,                 12.273,                 0.0339,             0.00061466,             0.00061466,             0.00061466
                      4,                 1.3315,                 31.489,                0.72841,                      0,                      0,                      0,                      0,                0.06215,                 12.273,                0.03506,             0.00080892,             0.00080892,             0.00080892
                      5,                 1.9969,                 29.374,                  1.072,                      0,                      0,                      0,                      0,                0.05757,                 11.273,                0.03269,             0.00099446,             0.00099446,             0.00099446
                      6,                 2.2978,                 27.801,                 1.1495,                      0,                      0,                      0,                      0,                0.03515,                 10.797,                 0.0209,              0.0011713,              0.0011713,              0.0011713
                      7,                 3.8977,                 26.094,                 1.8606,                      0,                      0,                      0,                      0,                0.01536,                 3.0234,                0.01006,              0.0013394,              0.0013394,              0.0013394
                      8,                 4.7627,                 24.955,                 2.2289,                      0,                      0,                      0,                      0,                0.01074,                 2.9941,                0.00725,              0.0014988,              0.0014988,              0.0014988
                      9,                  5.135,                 20.199,                 2.2062,                      0,                      0,                      0,                      0,                0.01074,                 2.9941,                0.00725,              0.0016495,              0.0016495,              0.0016495
                     10,                 4.0101,                 17.256,                  1.999,                      0,                      0,                      0,                      0,                0.01271,                 3.0059,                0.00833,              0.0016436,              0.0016436,              0.0016436
                     11,                 3.7343,                 14.823,                 2.0143,                      0,                      0,                      0,                      0,                0.01438,                 2.9941,                0.00935,               0.001604,               0.001604,               0.001604
                     12,                 4.0257,                 14.231,                 2.1935,                      0,                      0,                      0,                      0,                0.01438,                 2.9941,                0.00935,              0.0015644,              0.0015644,              0.0015644
                     13,                 5.2852,                 12.705,                 2.3425,                      0,                      0,                      0,                      0,                 4.6343,                 4.3908,                 2.5283,              0.0015248,              0.0015248,              0.0015248
                     14,                 5.2012,                 10.563,                 2.2613,                0.00111,                0.07143,                 0.0006,                0.00012,                 4.3226,                 3.9591,                 2.0691,              0.0014852,              0.0014852,              0.0014852
                     15,                 3.9238,                  7.187,                 1.9869,                0.00111,                0.07143,                 0.0006,                0.00012,                 4.3226,                 3.9591,                 2.0691,              0.0014456,              0.0014456,              0.0014456
                     16,                 4.1737,                 6.5277,                 2.0493,                0.00667,                0.42857,                0.00653,                0.00088,                  4.171,                 3.8505,                 1.8203,               0.001406,               0.001406,               0.001406
                     17,                  3.898,                 5.8194,                 1.9638,                   0.01,                0.64286,                0.01266,                0.00226,                 3.7036,                 3.6079,                 1.7977,              0.0013664,              0.0013664,              0.0013664
                     18,                 3.9523,                 5.3525,                 1.8831,                0.01333,                0.85714,                0.01543,                0.00384,                 3.3256,                 3.4382,                  1.617,              0.0013268,              0.0013268,              0.0013268
                     19,                 3.7686,                 4.6753,                 1.8065,                0.01333,                0.85714,                0.01543,                0.00384,                 3.3256,                 3.4382,                  1.617,              0.0012872,              0.0012872,              0.0012872
                     20,                 3.8451,                 4.3143,                 1.7014,                0.01556,                      1,                0.03565,                0.01041,                 2.8171,                 3.1031,                  1.503,              0.0012476,              0.0012476,              0.0012476
                     21,                 3.3969,                 4.0123,                 1.7595,                0.01556,                      1,                0.20332,                0.08091,                 2.5304,                 2.6889,                 1.6313,               0.001208,               0.001208,               0.001208
                     22,                 3.5681,                 3.8599,                 1.7335,                0.01556,                      1,                0.20332,                0.08091,                 2.5304,                 2.6889,                 1.6313,              0.0011684,              0.0011684,              0.0011684
                     23,                 3.2774,                 3.2924,                 1.6872,                0.20483,                0.35714,                0.24006,                0.09067,                 2.4133,                  2.601,                 1.4857,              0.0011288,              0.0011288,              0.0011288
