                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1433,                  38.12,                0.67682,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,                      0,                      0,                      0
                      2,                0.18758,                 38.008,                0.11136,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 2.6769,                 39.626,                 1.5722,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 5.8835,                 41.308,                 3.4688,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 6.0275,                 41.406,                 3.5661,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 5.3723,                 40.644,                 3.1378,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                  7.092,                 38.437,                 4.2161,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00010574,             0.00010574,             0.00010574
                      8,                 6.0747,                 39.824,                 3.6024,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0001206,              0.0001206,              0.0001206
                      9,                 3.5782,                 38.357,                  2.094,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00013466,             0.00013466,             0.00013466
                     10,                 1.6164,                 37.322,                0.94225,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00014792,             0.00014792,             0.00014792
                     11,                0.02822,                 36.009,                0.01659,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0001604,              0.0001604,              0.0001604
                     12,                 4.4557,                 38.325,                 2.9304,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00017208,             0.00017208,             0.00017208
                     13,                 4.1252,                  37.57,                 2.3248,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00018298,             0.00018298,             0.00018298
                     14,                 7.1143,                 38.487,                 4.1659,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00019308,             0.00019308,             0.00019308
                     15,                0.09873,                 34.928,                0.05602,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00020238,             0.00020238,             0.00020238
                     16,                 1.4286,                   35.7,                 0.8212,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0002109,              0.0002109,              0.0002109
                     17,                 1.7283,                 35.441,                 1.0098,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00021862,             0.00021862,             0.00021862
                     18,                 7.1243,                 31.671,                 4.2552,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00022556,             0.00022556,             0.00022556
                     19,                0.01374,                 33.962,                0.00786,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0002317,              0.0002317,              0.0002317
                     20,                 1.1778,                 34.518,                0.64454,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00023704,             0.00023704,             0.00023704
                     21,                0.48241,                 33.768,                0.26549,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0002416,              0.0002416,              0.0002416
                     22,                0.65753,                  33.78,                 0.3533,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00024536,             0.00024536,             0.00024536
                     23,                 7.1434,                 36.088,                 4.1437,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00024834,             0.00024834,             0.00024834
                     24,                 7.1073,                 32.828,                 3.8695,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00025052,             0.00025052,             0.00025052
                     25,                 3.4807,                 34.884,                   1.97,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0002519,              0.0002519,              0.0002519
                     26,                 6.9841,                 26.974,                 3.6561,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0002525,              0.0002525,              0.0002525
                     27,                 3.6792,                 33.971,                 1.9293,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0002523,              0.0002523,              0.0002523
                     28,                0.05144,                 32.553,                0.02801,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00025132,             0.00025132,             0.00025132
                     29,                 1.0227,                 32.237,                0.58315,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00024954,             0.00024954,             0.00024954
                     30,                 2.6292,                 32.871,                 1.5112,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00024696,             0.00024696,             0.00024696
                     31,                 6.4193,                 34.889,                 3.3948,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0002436,              0.0002436,              0.0002436
                     32,                  6.973,                 25.912,                 3.6169,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00023944,             0.00023944,             0.00023944
                     33,                 2.2877,                 31.862,                  1.235,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0002345,              0.0002345,              0.0002345
                     34,                0.07385,                 30.743,                0.03947,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00022876,             0.00022876,             0.00022876
                     35,                0.95086,                 30.618,                0.49309,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00022222,             0.00022222,             0.00022222
                     36,                0.79523,                 31.006,                0.43702,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0002149,              0.0002149,              0.0002149
                     37,                 6.9094,                 29.028,                 3.6041,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00020678,             0.00020678,             0.00020678
                     38,                0.00014,                 30.363,                  7e-05,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00019788,             0.00019788,             0.00019788
                     39,                0.43771,                  30.16,                0.20171,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00018818,             0.00018818,             0.00018818
                     40,                 6.6488,                 13.683,                 3.3944,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00017768,             0.00017768,             0.00017768
