                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2445,                 13.615,                 2.4044,                0.60507,                0.85714,                0.81667,                0.28965,                 2.3683,                 1.6026,                 1.0947,              0.0001667,              0.0001667,              0.0001667
                      2,                 4.0176,                 9.8582,                 2.2521,                0.01553,                0.35714,                0.07934,                0.01923,                 3.7136,                  3.446,                 1.3064,             0.00034314,             0.00034314,             0.00034314
                      3,                 3.1146,                 9.7481,                  2.499,                0.01553,                0.35714,                0.07934,                0.01923,                 4.5085,                 4.4367,                 1.5279,             0.00051232,             0.00051232,             0.00051232
                      4,                 3.3082,                  8.617,                 2.0528,                0.01553,                0.35714,                0.07934,                0.01923,                 4.7247,                  5.063,                 1.6672,             0.00067423,             0.00067423,             0.00067423
                      5,                 2.4858,                 6.7412,                 1.9056,                0.01553,                0.35714,                0.07934,                0.01923,                 4.4173,                 4.9629,                 1.6406,             0.00082889,             0.00082889,             0.00082889
                      6,                 2.4468,                 6.5061,                 1.8643,                0.01553,                0.35714,                0.07934,                0.01923,                 4.0963,                 4.7635,                  1.512,             0.00097628,             0.00097628,             0.00097628
                      7,                 2.6684,                 6.8504,                 2.0623,                0.01553,                0.35714,                0.07934,                0.01923,                  3.633,                 4.3457,                 1.4195,              0.0011164,              0.0011164,              0.0011164
                      8,                 2.6021,                  6.648,                 1.8486,                0.01553,                0.35714,                0.07934,                0.01923,                 3.6277,                 4.3205,                  1.415,              0.0012493,              0.0012493,              0.0012493
                      9,                 2.4814,                  5.289,                 1.7575,                0.01553,                0.35714,                0.07934,                0.01923,                 3.6277,                 4.3205,                  1.415,              0.0013749,              0.0013749,              0.0013749
                     10,                 2.5339,                 5.8673,                  1.676,                0.01553,                0.35714,                0.07934,                0.01923,                 3.7135,                 4.5754,                 1.4316,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.2926,                 7.6531,                 1.7503,                0.01553,                0.35714,                0.07934,                0.01923,                 3.6734,                 5.2787,                 1.4495,              0.0013369,              0.0013369,              0.0013369
                     12,                  2.293,                 5.4307,                 1.9831,                0.01553,                0.35714,                0.07934,                0.01923,                 3.6734,                 5.2787,                 1.4495,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.4149,                 4.7362,                  1.831,                0.01553,                0.35714,                0.07934,                0.01923,                 3.7472,                 5.1248,                 1.4467,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.1516,                   5.01,                 1.6891,                0.01553,                0.35714,                0.07934,                0.01923,                 3.7475,                 4.8891,                 1.4408,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.1863,                 4.7176,                   1.83,                0.01553,                0.35714,                0.07934,                0.01923,                 3.7475,                 4.8891,                 1.4408,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.2836,                 4.4474,                 2.0427,                0.01553,                0.35714,                0.07934,                0.01923,                 3.6473,                 4.6015,                 1.4449,              0.0011719,              0.0011719,              0.0011719
                     17,                  2.113,                 4.2415,                 1.6361,                0.01553,                0.35714,                0.07934,                0.01923,                 3.6471,                 4.4928,                 1.4755,              0.0011389,              0.0011389,              0.0011389
                     18,                   2.08,                 4.9402,                 1.7682,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5896,                 4.5936,                 1.5016,              0.0011059,              0.0011059,              0.0011059
                     19,                 2.0575,                 4.2938,                  1.738,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5896,                 4.5936,                 1.5016,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.9952,                 3.5834,                 1.5209,                0.01553,                0.35714,                0.07934,                0.01923,                 3.6486,                 4.6787,                 1.5208,              0.0010399,              0.0010399,              0.0010399
                     21,                  1.959,                 6.0078,                 1.4377,                0.01553,                0.35714,                0.07934,                0.01923,                 3.7517,                 4.5138,                 1.5156,              0.0010069,              0.0010069,              0.0010069
                     22,                 2.4046,                 5.7065,                 1.5989,                0.01553,                0.35714,                0.07934,                0.01923,                 3.7517,                 4.5138,                 1.5156,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.9343,                 3.8762,                 1.5278,                0.01553,                0.35714,                0.07934,                0.01923,                 3.8067,                 4.5407,                 1.5051,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.9037,                 4.0813,                  1.573,                0.01553,                0.35714,                0.07934,                0.01923,                 3.9298,                 5.0145,                 1.5115,             0.00090785,             0.00090785,             0.00090785
                     25,                 2.0199,                 3.2115,                 1.4488,                0.01553,                0.35714,                0.07934,                0.01923,                 3.9298,                 5.0145,                 1.5115,             0.00087484,             0.00087484,             0.00087484
                     26,                 2.0592,                 3.1654,                 1.3881,                0.01553,                0.35714,                0.07934,                0.01923,                 3.8555,                 6.0804,                 1.4846,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.9225,                 3.2946,                 1.3066,                0.01553,                0.35714,                0.07934,                0.01923,                 3.6221,                 6.6849,                 1.4488,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.8069,                 2.9752,                 1.3725,                0.01553,                0.35714,                0.07934,                0.01923,                 3.6221,                 6.6849,                 1.4488,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.9906,                  3.193,                 1.4721,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5531,                 6.0707,                 1.4345,             0.00074282,             0.00074282,             0.00074282
                     30,                 2.0689,                 3.3643,                 1.3789,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5206,                 5.4333,                  1.436,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.7668,                  3.566,                 1.3314,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5206,                 5.4333,                  1.436,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.8627,                 3.0032,                 1.2508,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5331,                 5.1033,                 1.4535,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.9033,                 2.8329,                 1.2579,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5468,                 5.0274,                   1.47,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.8563,                 3.0186,                 1.3998,                0.01553,                0.35714,                0.07934,                0.01923,                 3.6194,                 5.0574,                 1.4857,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.8321,                  2.714,                 1.2688,                0.01553,                0.35714,                0.07934,                0.01923,                 3.6194,                 5.0574,                 1.4857,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.7562,                 2.8785,                 1.1845,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5974,                 5.3438,                 1.4797,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.8148,                 3.2503,                 1.3205,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5433,                 5.6822,                 1.4573,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.6055,                 2.4242,                 1.2532,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5433,                 5.6822,                 1.4573,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.8924,                  2.636,                 1.2177,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5622,                 6.0054,                 1.4598,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.8112,                    3.6,                 1.2912,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5509,                 6.1293,                 1.4615,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.8612,                  3.866,                 1.3827,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5509,                 6.1293,                 1.4615,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.6567,                 3.2678,                 1.2913,                0.01553,                0.35714,                0.07934,                0.01923,                   3.59,                 6.2462,                 1.4825,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.6131,                 4.2401,                 1.1961,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5641,                 6.2899,                 1.4927,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.7204,                 3.1907,                 1.4246,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5641,                 6.2899,                 1.4927,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.7781,                 3.3889,                 1.4154,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5274,                 6.0148,                 1.4855,             0.00021471,             0.00021471,             0.00021471
                     46,                  1.826,                 4.0372,                 1.2972,                0.01553,                0.35714,                0.07934,                0.01923,                 3.4985,                 5.7515,                 1.4795,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.4974,                 3.3287,                 1.2611,                0.01553,                0.35714,                0.07934,                0.01923,                 3.4985,                 5.7515,                 1.4795,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.5905,                 4.0543,                 1.2272,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5335,                 5.5427,                 1.4879,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.7474,                 4.4685,                  1.387,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5298,                 5.5291,                 1.4854,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.5524,                 3.2665,                 1.3025,                0.01553,                0.35714,                0.07934,                0.01923,                 3.5346,                 5.5155,                 1.4866,             4.9677e-05,             4.9677e-05,             4.9677e-05
