                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.08948,                 38.046,                0.05289,                      0,                      0,                      0,                      0,                0.05991,                 12.273,                0.03406,                  4e-05,                  4e-05,                  4e-05
                      2,                0.47439,                 38.371,                0.27548,                      0,                      0,                      0,                      0,                0.05991,                 12.273,                0.03408,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 2.2639,                 39.269,                  1.326,                      0,                      0,                      0,                      0,                0.05989,                 12.273,                0.03408,             0.00015366,             0.00015366,             0.00015366
                      4,                 1.1226,                 38.928,                0.68756,                      0,                      0,                      0,                      0,                0.05956,                 12.273,                0.03391,             0.00020693,             0.00020693,             0.00020693
                      5,                0.81743,                 37.615,                0.47796,                      0,                      0,                      0,                      0,                 0.0586,                 12.273,                0.03338,             0.00025782,             0.00025782,             0.00025782
                      6,                 1.0306,                 36.612,                0.59494,                      0,                      0,                      0,                      0,                0.05841,                 12.273,                0.03329,             0.00030634,             0.00030634,             0.00030634
                      7,                 0.2137,                 35.436,                0.12384,                      0,                      0,                      0,                      0,                0.05777,                 12.273,                0.03296,             0.00035248,             0.00035248,             0.00035248
                      8,                 1.8486,                 35.599,                 1.0822,                      0,                      0,                      0,                      0,                0.05713,                 12.273,                0.03263,             0.00039624,             0.00039624,             0.00039624
                      9,                 2.9107,                  35.26,                 1.6217,                      0,                      0,                      0,                      0,                0.05713,                 12.273,                0.03263,             0.00043763,             0.00043763,             0.00043763
                     10,                 0.1336,                 33.684,                0.07778,                      0,                      0,                      0,                      0,                0.05662,                 12.273,                0.03238,             0.00047664,             0.00047664,             0.00047664
                     11,                 2.1598,                 33.676,                 1.1542,                      0,                      0,                      0,                      0,                0.05662,                 12.273,                0.03238,             0.00051328,             0.00051328,             0.00051328
                     12,                 0.1382,                 32.471,                0.07664,                      0,                      0,                      0,                      0,                0.05466,                 12.273,                0.03133,             0.00054754,             0.00054754,             0.00054754
                     13,                 2.3057,                 31.789,                  1.202,                      0,                      0,                      0,                      0,                0.05466,                 12.273,                0.03133,             0.00057942,             0.00057942,             0.00057942
