                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.0135,                 28.286,                0.00805,                      0,                      0,                      0,                      0,                0.05979,                 12.273,                0.03399,                  2e-05,                  2e-05,                  2e-05
                      2,                0.39618,                 28.809,                0.23091,                      0,                      0,                      0,                      0,                0.05991,                 12.273,                0.03407,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 1.6501,                 29.277,                0.97512,                      0,                      0,                      0,                      0,                0.05991,                 12.273,                0.03408,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 3.5498,                 28.918,                 2.0884,                      0,                      0,                      0,                      0,                0.05988,                 12.273,                0.03407,             0.00013168,             0.00013168,             0.00013168
                      5,                 2.0634,                 29.723,                 1.2223,                      0,                      0,                      0,                      0,                0.05956,                 12.273,                0.03391,             0.00016574,             0.00016574,             0.00016574
                      6,                 3.4337,                 29.165,                 2.1071,                      0,                      0,                      0,                      0,                0.05956,                 12.273,                0.03391,             0.00019822,             0.00019822,             0.00019822
                      7,                  1.674,                 28.038,                0.96549,                      0,                      0,                      0,                      0,                0.05862,                 12.273,                0.03339,             0.00022911,             0.00022911,             0.00022911
                      8,                0.32929,                 27.239,                0.25531,                      0,                      0,                      0,                      0,                0.05841,                 12.273,                 0.0333,             0.00025842,             0.00025842,             0.00025842
                      9,                 1.8061,                  27.32,                 1.0605,                      0,                      0,                      0,                      0,                0.05841,                 12.273,                 0.0333,             0.00028614,             0.00028614,             0.00028614
                     10,                0.00719,                 26.439,                0.00407,                      0,                      0,                      0,                      0,                0.05735,                 12.273,                0.03273,             0.00031228,             0.00031228,             0.00031228
                     11,                 2.7761,                 27.211,                 1.6199,                      0,                      0,                      0,                      0,                0.05735,                 12.273,                0.03273,             0.00033684,             0.00033684,             0.00033684
                     12,                 1.8996,                 26.981,                 1.1196,                      0,                      0,                      0,                      0,                0.05715,                 12.273,                0.03267,             0.00035981,             0.00035981,             0.00035981
                     13,                 1.7095,                  26.23,                0.97936,                      0,                      0,                      0,                      0,                0.05715,                 12.273,                0.03267,              0.0003812,              0.0003812,              0.0003812
                     14,                 3.5406,                 26.916,                   2.07,                      0,                      0,                      0,                      0,                0.05715,                 12.273,                0.03267,               0.000401,               0.000401,               0.000401
                     15,                 1.3614,                 25.761,                0.76938,                      0,                      0,                      0,                      0,                0.05573,                 12.273,                0.03193,             0.00041922,             0.00041922,             0.00041922
                     16,                 3.4326,                 26.133,                 1.9109,                      0,                      0,                      0,                      0,                0.05573,                 12.273,                0.03193,             0.00043586,             0.00043586,             0.00043586
                     17,                 1.8387,                 25.586,                 1.0575,                      0,                      0,                      0,                      0,                0.05573,                 12.273,                0.03193,             0.00045091,             0.00045091,             0.00045091
                     18,                0.72956,                 24.395,                0.35948,                      0,                      0,                      0,                      0,                 0.0541,                 12.273,                0.03112,             0.00046438,             0.00046438,             0.00046438
                     19,                 3.5899,                 25.229,                  1.998,                      0,                      0,                      0,                      0,                 0.0541,                 12.273,                0.03112,             0.00047626,             0.00047626,             0.00047626
                     20,                0.44325,                 23.758,                0.26179,                      0,                      0,                      0,                      0,                 0.0541,                 12.273,                0.03112,             0.00048656,             0.00048656,             0.00048656
                     21,                 1.1357,                  24.28,                0.66951,                      0,                      0,                      0,                      0,                0.05196,                 12.273,                0.03005,             0.00049528,             0.00049528,             0.00049528
                     22,                0.22249,                 22.616,                  0.124,                      0,                      0,                      0,                      0,                0.05196,                 12.273,                0.03005,             0.00050241,             0.00050241,             0.00050241
                     23,                0.00895,                 22.534,                0.00467,                      0,                      0,                      0,                      0,                0.05196,                 12.273,                0.03005,             0.00050796,             0.00050796,             0.00050796
                     24,                  2.745,                 23.885,                 1.5004,                      0,                      0,                      0,                      0,                0.05196,                 12.273,                0.03005,             0.00051192,             0.00051192,             0.00051192
                     25,                 4.2614,                 24.629,                 2.2315,                      0,                      0,                      0,                      0,                0.04677,                 12.266,                0.02728,              0.0005143,              0.0005143,              0.0005143
                     26,                0.32184,                 21.874,                 0.1687,                      0,                      0,                      0,                      0,                0.04677,                 12.266,                0.02728,              0.0005151,              0.0005151,              0.0005151
                     27,                 3.4945,                 16.569,                 1.7544,                      0,                      0,                      0,                      0,                0.04677,                 12.266,                0.02728,             0.00051431,             0.00051431,             0.00051431
                     28,                0.17043,                 21.883,                0.06931,                      0,                      0,                      0,                      0,                0.04677,                 12.266,                0.02728,             0.00051194,             0.00051194,             0.00051194
                     29,                 1.9665,                 22.678,                0.84007,                      0,                      0,                      0,                      0,                0.04677,                 12.266,                0.02728,             0.00050798,             0.00050798,             0.00050798
                     30,                  1.016,                 22.025,                0.59415,                      0,                      0,                      0,                      0,                0.04062,                 11.133,                0.02403,             0.00050244,             0.00050244,             0.00050244
                     31,                 5.3015,                 23.522,                 2.4143,                      0,                      0,                      0,                      0,                0.04062,                 11.133,                0.02403,             0.00049532,             0.00049532,             0.00049532
                     32,                 6.6441,                 14.868,                 3.2002,                      0,                      0,                      0,                      0,                0.04062,                 11.133,                0.02403,             0.00048661,             0.00048661,             0.00048661
                     33,                0.39179,                  20.91,                0.15343,                      0,                      0,                      0,                      0,                0.04062,                 11.133,                0.02403,             0.00047632,             0.00047632,             0.00047632
                     34,                 2.5093,                 22.289,                 1.1715,                      0,                      0,                      0,                      0,                0.04062,                 11.133,                0.02403,             0.00046444,             0.00046444,             0.00046444
                     35,                  1.167,                 21.631,                0.55366,                      0,                      0,                      0,                      0,                0.04062,                 11.133,                0.02403,             0.00045098,             0.00045098,             0.00045098
                     36,                  3.192,                 22.631,                 1.3794,                      0,                      0,                      0,                      0,                0.03201,                 10.914,                0.01932,             0.00043594,             0.00043594,             0.00043594
                     37,                 3.9791,                  22.64,                 2.1603,                      0,                      0,                      0,                      0,                0.03201,                 10.914,                0.01932,             0.00041931,             0.00041931,             0.00041931
                     38,                0.36605,                 20.741,                0.13978,                      0,                      0,                      0,                      0,                0.03201,                 10.914,                0.01932,              0.0004011,              0.0004011,              0.0004011
                     39,                0.33202,                 20.129,                0.19565,                      0,                      0,                      0,                      0,                0.03201,                 10.914,                0.01932,              0.0003813,              0.0003813,              0.0003813
                     40,                 3.5469,                  11.92,                 1.7014,                      0,                      0,                      0,                      0,                0.03201,                 10.914,                0.01932,             0.00035992,             0.00035992,             0.00035992
                     41,                 1.8253,                 21.283,                0.78988,                      0,                      0,                      0,                      0,                0.03201,                 10.914,                0.01932,             0.00033696,             0.00033696,             0.00033696
                     42,                 6.6239,                 17.459,                 3.1601,                      0,                      0,                      0,                      0,                0.03201,                 10.914,                0.01932,             0.00031241,             0.00031241,             0.00031241
                     43,                  2.608,                 21.858,                  1.154,                      0,                      0,                      0,                      0,                0.02643,                 5.5078,                 0.0162,             0.00028628,             0.00028628,             0.00028628
                     44,                 3.3524,                 13.348,                 1.5635,                      0,                      0,                      0,                      0,                0.02643,                 5.5078,                 0.0162,             0.00025856,             0.00025856,             0.00025856
                     45,                  2.853,                 21.525,                 1.1644,                      0,                      0,                      0,                      0,                0.02643,                 5.5078,                 0.0162,             0.00022926,             0.00022926,             0.00022926
                     46,                  6.627,                  22.03,                 2.9397,                      0,                      0,                      0,                      0,                0.02643,                 5.5078,                 0.0162,             0.00019838,             0.00019838,             0.00019838
                     47,                 5.7095,                 12.536,                 2.9077,                      0,                      0,                      0,                      0,                0.02643,                 5.5078,                 0.0162,             0.00016591,             0.00016591,             0.00016591
                     48,                 3.2582,                  19.57,                 1.5258,                      0,                      0,                      0,                      0,                0.02643,                 5.5078,                 0.0162,             0.00013186,             0.00013186,             0.00013186
                     49,                 6.3044,                 15.838,                  2.579,                      0,                      0,                      0,                      0,                0.02643,                 5.5078,                 0.0162,             9.6224e-05,             9.6224e-05,             9.6224e-05
                     50,                 5.8309,                 14.198,                 2.7051,                      0,                      0,                      0,                      0,                0.02643,                 5.5078,                 0.0162,             5.9004e-05,             5.9004e-05,             5.9004e-05
