                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56399,                 19.078,                0.33382,                      0,                      0,                      0,                      0,                0.05979,                 12.273,                0.03399,                  2e-05,                  2e-05,                  2e-05
                      2,                0.52712,                 19.234,                0.30926,                      0,                      0,                      0,                      0,                0.05991,                 12.273,                0.03407,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 1.9797,                 19.885,                 1.1841,                      0,                      0,                      0,                      0,                0.05991,                 12.273,                0.03407,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 3.6992,                 18.669,                 2.1866,                      0,                      0,                      0,                      0,                0.05991,                 12.273,                0.03409,             0.00013168,             0.00013168,             0.00013168
                      5,                0.28323,                 18.944,                0.16623,                      0,                      0,                      0,                      0,                0.05991,                 12.273,                0.03409,             0.00016574,             0.00016574,             0.00016574
                      6,                 3.6048,                 20.849,                 2.1513,                      0,                      0,                      0,                      0,                 0.0599,                 12.273,                0.03411,             0.00019822,             0.00019822,             0.00019822
                      7,                 2.6288,                 20.145,                  1.553,                      0,                      0,                      0,                      0,                 0.0599,                 12.273,                0.03411,             0.00022911,             0.00022911,             0.00022911
                      8,                 1.6341,                 19.698,                0.95178,                      0,                      0,                      0,                      0,                 0.0599,                 12.273,                0.03411,             0.00025842,             0.00025842,             0.00025842
                      9,                 1.5776,                  19.77,                0.91354,                      0,                      0,                      0,                      0,                 0.0585,                 12.273,                0.03335,             0.00028614,             0.00028614,             0.00028614
                     10,                 0.3441,                 18.908,                0.20332,                      0,                      0,                      0,                      0,                 0.0585,                 12.273,                0.03335,             0.00031228,             0.00031228,             0.00031228
                     11,                 3.5728,                 20.621,                 2.1469,                      0,                      0,                      0,                      0,                 0.0585,                 12.273,                0.03335,             0.00033684,             0.00033684,             0.00033684
                     12,                0.02987,                 18.732,                0.01737,                      0,                      0,                      0,                      0,                 0.0585,                 12.273,                0.03335,             0.00035981,             0.00035981,             0.00035981
                     13,                 2.1361,                  19.97,                 1.2517,                      0,                      0,                      0,                      0,                0.05786,                 12.273,                0.03302,              0.0003812,              0.0003812,              0.0003812
                     14,                0.48075,                 19.351,                0.27495,                      0,                      0,                      0,                      0,                0.05786,                 12.273,                0.03302,               0.000401,               0.000401,               0.000401
                     15,                 1.3248,                 19.777,                0.76326,                      0,                      0,                      0,                      0,                0.05786,                 12.273,                0.03302,             0.00041922,             0.00041922,             0.00041922
                     16,                 1.2909,                  19.65,                0.77543,                      0,                      0,                      0,                      0,                0.05786,                 12.273,                0.03302,             0.00043586,             0.00043586,             0.00043586
                     17,                 2.2157,                 20.039,                 1.3302,                      0,                      0,                      0,                      0,                0.05786,                 12.273,                0.03302,             0.00045091,             0.00045091,             0.00045091
                     18,                0.03342,                 18.928,                  0.019,                      0,                      0,                      0,                      0,                0.05786,                 12.273,                0.03302,             0.00046438,             0.00046438,             0.00046438
                     19,                0.28088,                 18.559,                0.15702,                      0,                      0,                      0,                      0,                0.05607,                 12.273,                0.03209,             0.00047626,             0.00047626,             0.00047626
                     20,                 1.6924,                 18.616,                 1.0068,                      0,                      0,                      0,                      0,                0.05607,                 12.273,                0.03209,             0.00048656,             0.00048656,             0.00048656
                     21,                 3.7998,                 19.769,                 2.2083,                      0,                      0,                      0,                      0,                0.05607,                 12.273,                0.03209,             0.00049528,             0.00049528,             0.00049528
                     22,                0.14599,                 17.849,                0.08187,                      0,                      0,                      0,                      0,                0.05607,                 12.273,                0.03209,             0.00050241,             0.00050241,             0.00050241
